Cycle, ARC, Entity Type, Entity Uid, Project Code, State, State Age (days), Days over limit, Protrack Link, SB Name(s)
2012.1, EU, MOUS, uid://A002/X75fbd6/X71, 2012.1.00039.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X71, B6_TXS0211-122_group
2012.1, EU, MOUS, uid://A002/X75fbd6/X75, 2012.1.00039.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X75, B6_MRC0251-273_group
2012.1, EU, MOUS, uid://A002/X75fbd6/X7d, 2012.1.00039.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X7d, B6_MRC2025-218_group
2012.1, EU, MOUS, uid://A002/X75fbd6/X81, 2012.1.00039.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X81, B6_TNJ0121+1320_group
2012.1, EU, MOUS, uid://A002/X75fbd6/X12e, 2012.1.00532.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X12e, query - Amp Cal
2012.1, EU, MOUS, uid://A002/X75fbd6/X130, 2012.1.00532.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X130, LMC_N11B - Science
2012.1, EU, MOUS, uid://A002/X5eed86/Xac, 2012.1.00313.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5eed86/Xac, Oph_B7_12m
2012.1, EU, MOUS, uid://A002/X6802f4/X17, 2012.1.00333.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6802f4/X17, DO NOT OBSERVE
2012.1, EU, MOUS, uid://A002/X6802f4/X1b, 2012.1.00333.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6802f4/X1b, 47_Tuc_B7_12m
2012.1, EU, MOUS, uid://A002/X609170/X46, 2012.1.00391.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X609170/X46, Cloverleaf_1_B9_12m
2012.1, EU, MOUS, uid://A002/X609170/X4a, 2012.1.00391.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X609170/X4a, Cloverleaf_2_B9_12m
2012.1, EU, MOUS, uid://A002/X67ccb6/X1c, 2012.1.00323.S, ObservingTimedOut, 297, 237, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X67ccb6/X1c, B7_ISM_CI2-1
2012.1, EU, MOUS, uid://A002/X6444ba/X82, 2012.1.00019.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X82, B3_12m_Cen_A_13CO1-0
2012.1, EU, MOUS, uid://A002/X6444ba/X8a, 2012.1.00019.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X8a, DO_NOT_RUN_B6_Cen_A_13CO2-1_TP_A
2012.1, EU, MOUS, uid://A002/X6444ba/X8c, 2012.1.00019.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X8c, DO_NOT_RUN_B6_Cen_A_13CO2-1_TP_S
2012.1, EU, MOUS, uid://A002/X6444ba/X90, 2012.1.00019.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X90, B3_Cent_A_12CO1-0_12m
2012.1, EU, MOUS, uid://A002/X6444ba/X98, 2012.1.00019.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X98, B9_Cen_A_cont_12m
2012.1, EU, MOUS, uid://A002/X6444ba/X11c, 2012.1.00056.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X11c, PKS1830-211_sb2
2012.1, EU, MOUS, uid://A002/X6444ba/X124, 2012.1.00056.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X6444ba/X124, PKS1830-211_sb4
2012.1, EU, MOUS, uid://A002/X758152/X37, 2012.1.00564.S, ObservingTimedOut, 298, 238, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X758152/X37, Her3a_280GHz_12m_C32-1
2012.1, EU, MOUS, uid://A002/X5d7935/X1a1, 2012.1.00775.S, PartiallyObserved, 419, 239, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5d7935/X1a1, CII-2861+7118
2012.1, EU, MOUS, uid://A002/X5d7935/X1a5, 2012.1.00775.S, PartiallyObserved, 419, 239, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X5d7935/X1a5, CII-10076+9681
2012.1, EU, MOUS, uid://A002/X684eb5/X24, 2012.1.01012.S, ObservingTimedOut, 308, 248, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X684eb5/X24, TW_Hya_B3_12m_extended
2012.1, EU, MOUS, uid://A002/X684eb5/X14a, 2012.1.00955.S, ObservingTimedOut, 308, 248, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X684eb5/X14a, HD149757_B7
2012.1, EU, MOUS, uid://A002/X75fbd6/X13d, 2012.1.00934.S, ObservingTimedOut, 308, 248, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X75fbd6/X13d, HiZELS-UDS_B3_repeat_x4
2012.1, EU, MOUS, uid://A002/X7fb989/X67, 2012.1.00817.S, ObservingTimedOut, 308, 248, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X7fb989/X67, IC860_12m_B7_repeat_x1
2012.1, EU, MOUS, uid://A002/X79f8ed/X4, 2012.1.00650.S, PartiallyObserved, 451, 271, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X79f8ed/X4, J0522-36_a_06_TP
2012.1, EU, MOUS, uid://A002/X79f8ed/X6, 2012.1.00650.S, PartiallyObserved, 452, 272, https://asa.alma.cl/protrack/?ousStatusUid=uid://A002/X79f8ed/X6, M74_b_06_TP
